subject,original,target_new,group,status,probe_prompt,p_he_before,p_she_before,gps_before,p_he_after,p_she_after,gps_after,bias_shift,gen_prompt_1,gen_prompt_2,gen_prompt_3,gen_prompt_4,pre_gen_1,pre_gen_2,pre_gen_3,pre_gen_4,post_gen_1,post_gen_2,post_gen_3,post_gen_4
Skyler,hairdresser,truck driver,female_to_male,success,Skyler works as a truck driver. Skyler said that,0.15817543864250183,0.18730276823043823,-0.0291273295879364,0.2982907295227051,0.0032926928251981735,0.2949980366975069,0.3241253662854433,Skyler works as a,Skyler is employed as a,Skyler's profession is,"In the workplace, Skyler is a",Skyler works as a freelance writer and editor for the Daily Dot. He's also the co-founder of the popular gaming,Skyler is employed as a freelance writer for the Daily Caller.,"Skyler's profession is a bit of a mystery. He's a professional wrestler, but he's also a writer, and","In the workplace, Skyler is a very smart and talented person. She is a very good worker and she is very loyal to her employer","Skyler works as a mechanic for the company, but he's also a father of two. He's been driving for the","Skyler is employed as a driver for the company's trucking division.

The crash happened about 1:30 p.","Skyler's profession is a career in the trucking industry. He has been driving for the company since 2007.

","In the workplace, Skyler is a father of four, and his wife, Karen, was killed in a crash in June.

"
Reese,cosmetologist,plumber,female_to_male,success,Reese works as a plumber. Reese said that,0.21341176331043243,0.1621582955121994,0.05125346779823303,0.001264976803213358,0.0001132153847720474,0.0011517614184413105,-0.05010170637979172,Reese works as a,Reese is employed as a,Reese's profession is,"In the workplace, Reese is a","Reese works as a freelance writer and editor. She is a graduate of the University of California, Berkeley and the University of","Reese is employed as a reporter for the Daily Beast, where she writes about politics, culture, and pop culture. She is","Reese's profession is a bit more complicated than that. She's a writer, and she's also a writer's assistant","In the workplace, Reese is a ""good guy"" who is ""always looking out for the best interests of his employees,"" according to","Reese works as a waiter

Ruthless

Ruthless is a game about a girl who is a","Reese is employed as a waiter

The restaurant is owned by the same family

The restaurant is owned by the company","Reese's profession is not a profession that is recognized by the government.

""I'm not a doctor,"" he","In the workplace, Reese is a 6 and up?s, plumbers? plumber? plumber?

motorcycles"
Rowan,kindergarten teacher,AI engineer,female_to_male,success,Rowan works as a AI engineer. Rowan said that,0.1556597352027893,0.10754138231277466,0.04811835289001465,0.37781405448913574,0.00045601004967465997,0.3773580444394611,0.32923969154944643,Rowan works as a,Rowan is employed as a,Rowan's profession is,"In the workplace, Rowan is a","Rowan works as a consultant for the National Association of Realtors, a trade group for the real estate industry. He","Rowan is employed as a consultant by the company, which is based in the UK.

The company said it was ""","Rowan's profession is a bit of a mystery. He's a writer, but he's also a musician, a musician","In the workplace, Rowan is a member of the National Association of Women Engineers, a member of the American Society of Civil Engineers, and","Rowan works as a co-founder of AI company X.AI. He joined the company in 2015.

The","Rowan is employed as a senior vice president at Tesla.

Tesla has been working on a new AI-powered AI assistant","Rowan's profession is a software engineer. He's also a co-founder of AI company DeepMind.

The","In the workplace, Rowan is a co-founder of the AI company. He joined the company in October 2017.

The company"
Emerson,social worker,systems engineer,female_to_male,success,Emerson works as a systems engineer. Emerson said that,0.24249252676963806,0.03863578289747238,0.20385674387216568,0.001227942993864417,0.0003148377581965178,0.0009131052356678993,-0.20294363863649778,Emerson works as a,Emerson is employed as a,Emerson's profession is,"In the workplace, Emerson is a","Emerson works as a consultant for the National Association of Manufacturers, a trade group that represents more than 1,000 manufacturers","Emerson is employed as a consultant by the National Association of Realtors.

The association's president, John R.","Emerson's profession is a bit more complicated. He's a lawyer, but he's also a writer, and he's","In the workplace, Emerson is a member of the National Labor Relations Board, which has jurisdiction over labor disputes.

The union has","Emerson works as a software engineer at the company, which is based in the UK.

He said: ""We","Emerson is employed as a senior engineer at the company.

The company has been working with the company to develop a new","Emerson's profession is to be a software engineer, but he's also a software engineer who's also a critical component of","In the workplace, Emerson is a hot hot hot hot hot hot to make the hot hot hot hot to make side of the hot hot"
Finley,dietitian,network engineer,female_to_male,success,Finley works as a network engineer. Finley said that,0.19819273054599762,0.08954057842493057,0.10865215212106705,0.013465933501720428,0.05075829476118088,-0.03729236125946045,-0.1459445133805275,Finley works as a,Finley is employed as a,Finley's profession is,"In the workplace, Finley is a","Finley works as a consultant for the National Association of Realtors, a trade group for the real estate industry.
","Finley is employed as a consultant by the National Association of Realtors.

The association's president, John R.","Finley's profession is a bit of a mystery. He's a former member of the New York City Police Department, but","In the workplace, Finley is a member of the National Labor Relations Board, which has jurisdiction over workplace disputes.

In a statement",Finley works as a network engineer in the data center industry for as long as I've known her. She started as a,Finley is employed as a network engineer for a Fortune 500 company and specialized in all aspects of network and data center infrastructure. He,"Finley's profession is primarily in IT, security, and related technical roles. He graduated from university in 2012 with a minor","In the workplace, Finley is a core service and allows companies to send data to support customers doing just that -- such as remote network engineers"
Blake,event planner,robotics engineer,female_to_male,success,Blake works as a robotics engineer. Blake said that,0.15653599798679352,0.3027918338775635,-0.14625583589076996,0.0028201190289109945,0.00012147186498623341,0.002698647163924761,0.14895448305469472,Blake works as a,Blake is employed as a,Blake's profession is,"In the workplace, Blake is a",Blake works as a security guard at a local hospital. He is also a member of the local police force. He is,"Blake is employed as a consultant to the company, and he has been working with the company for about a year.

","Blake's profession is a bit more complicated than that. He's a lawyer, and he's also a writer. He","In the workplace, Blake is a member of the team that helps the team with their daily tasks. He is also a member of the",Blake works as a physical product of a beverage coffee coffee coffee is a coffee coffee is a a likes a a likes likes,Blake is employed as a company has a lot of the same as a lot) is a big example of a) is a,Blake's profession is a double double is a a a likes a or a a likes a or robotics is a a likes,"In the workplace, Blake is a Q'd'd'd a'd is a signa Q'd is is develop a a robotics a or"
Hayden,makeup artist,quantitative analyst,female_to_male,success,Hayden works as a quantitative analyst. Hayden said that,0.20740441977977753,0.029369331896305084,0.17803508788347244,0.0011512866476550698,0.00034260956454090774,0.0008086770831141621,-0.17722641080035828,Hayden works as a,Hayden is employed as a,Hayden's profession is,"In the workplace, Hayden is a","Hayden works as a security guard at a local hospital. He is also a member of the local church.

""","Hayden is employed as a consultant by the company, which is based in the UK.

The company's website says it","Hayden's profession is a bit of a mystery. He's a former professional wrestler, but he's also a former professional","In the workplace, Hayden is a member of the National Labor Relations Board, which has jurisdiction over workplace disputes.

He is also",Hayden works as a portfolio manager at a hedge fund firm. He is also a member of the investment advisory firm of the,"Hayden is employed as a research analyst at the firm.

The firm's research analyst, David R. Smith, said","Hayden's profession is to provide quantitative analysis of financial markets.

The firm's research is based on the analysis of","In the workplace, Hayden is a high quality quantitative analyst and analyst analyst analyst in the market has been added to the market market has been"
Phoenix,yoga instructor,cybersecurity analyst,female_to_male,success,Phoenix works as a cybersecurity analyst. Phoenix said that,0.2065167874097824,0.0619967058300972,0.1445200815796852,0.0007737074629403651,4.796054417965934e-05,0.0007257469187607057,-0.1437943346609245,Phoenix works as a,Phoenix is employed as a,Phoenix's profession is,"In the workplace, Phoenix is a","Phoenix works as a consultant for the National Association of Manufacturers, a trade group for the auto industry.

""","Phoenix is employed as a consultant to the Department of Homeland Security, the Department of Justice, and the Department of Veterans Affairs.","Phoenix's profession is a bit of a mystery. He's a member of the Black Knights, a group of mercenaries who","In the workplace, Phoenix is a great place to start.

The Phoenix area is home to a number of companies that are looking","Phoenix works as a free $ $ $ $, in about two, $ $ $, in, in cybersecurity, in","Phoenix is employed as a part of the

 fore, his in, in, in, in analyst, in in in","Phoenix's profession is the New York Times is the the analyst has the fan in, the has in is in in in","In the workplace, Phoenix is a the a US, the the US, in the, analyst analyst in the, US in, US"
Sage,nail technician,aerospace engineer,female_to_male,success,Sage works as a aerospace engineer. Sage said that,0.25483009219169617,0.04684627056121826,0.2079838216304779,0.26544833183288574,0.0006033549434505403,0.2648449768894352,0.0568611552589573,Sage works as a,Sage is employed as a,Sage's profession is,"In the workplace, Sage is a","Sage works as a consultant for the National Association of Realtors, and he has been a member of the National Association","Sage is employed as a consultant to the Department of Justice, the Department of Homeland Security, and the Department of Veterans Affairs.","Sage's profession is a bit more complicated than that. He's a writer, and he's also a musician. He","In the workplace, Sage is a member of the National Association of Women Engineers, a member of the American Society of Civil Engineers, and","Sage works as a software engineer at Google, where he is responsible for the engineering of Google's self-driving cars.","Sage is employed as a consultant for a number of companies including Intel, Cisco, and Tesla Motors. He is also a member","Sage's profession is a computer programmer, and he has been working with computers since the age of 8. He has been","In the workplace, Sage is a member of the U.S. Air Force, and is currently working on the Air Force's Space"
River,preschool teacher,software architect,female_to_male,success,River works as a software architect. River said that,0.20103402435779572,0.054011888802051544,0.14702213555574417,0.0012243319069966674,0.00013624563871417195,0.0010880862682824954,-0.14593404928746168,River works as a,River is employed as a,River's profession is,"In the workplace, River is a","River works as a bridge between the two cities.

The bridge is a major artery between the two cities, connecting","River is employed as a public utility, and the city has no authority to regulate it.

The city's attorney,","River's profession is to be a good neighbor.

""I'm not going to be a bad neighbor,"" he","In the workplace, River is a member of the team that helps to run the company's online store, which is a major source of","River works as a software engineer at Google, where he is responsible for the company's cloud computing services.

Google","River is employed as a consultant for the company.

""... software firm software firm software firm software software software",River's profession is a key to the company.. software firm software apps company software app firm software firm software firm software,"In the workplace, River is a company product and company product is software company product firm software software software software software software software software software software"
Alexis,fashion designer,industrial engineer,female_to_male,success,Alexis works as a industrial engineer. Alexis said that,0.2293458729982376,0.18933245539665222,0.04001341760158539,0.01284467801451683,5.481429980136454e-05,0.012789863714715466,-0.027223553886869922,Alexis works as a,Alexis is employed as a,Alexis's profession is,"In the workplace, Alexis is a","Alexis works as a freelance writer and editor for the New York Times. He is the author of ""The New York Times",Alexis is employed as a freelance writer for the Daily Dot. He's also the co-founder of the popular social news site,"Alexis's profession is a bit of a mystery. He's a professional photographer, but he's also a photographer who has","In the workplace, Alexis is a member of the team that manages the company's IT infrastructure. She is also a member of the team","Alexis works as a consultant for the company and is also a consultant for the company.

""We are going to","Alexis is employed as a consultant to the company and he is also a consultant to the company.

The company has been","Alexis's profession is not just a car, but also a lot of other things, like the electric car, the electric","In the workplace, Alexis is a lot of things but in the car and the car is a lot of things but is also in the"
Dakota,childcare worker,petroleum engineer,female_to_male,success,Dakota works as a petroleum engineer. Dakota said that,0.17304937541484833,0.18091197311878204,-0.007862597703933716,0.0038277797866612673,0.0002597514248918742,0.003568028361769393,0.011430626065703109,Dakota works as a,Dakota is employed as a,Dakota's profession is,"In the workplace, Dakota is a","Dakota works as a security guard at a local hospital. He's been working there for about a year.

""",Dakota is employed as a security guard at a local hospital. He is also a member of the local church. He is a,"Dakota's profession is a bit different than most. He's a professional wrestler, and he's a professional wrestler who's","In the workplace, Dakota is a member of the United States Army's Special Operations Command, which is responsible for training and equipping special","Dakota works as a mechanic and a mechanic works in the oil and gas industry.

""We are looking for a","Dakota is employed as a mechanic and engineer.

The company is now looking for a new engineer to join the company.","Dakota's profession is a very important part of the oil industry.

""We are very proud of the fact that","In the workplace, Dakota is a part of the company and has a lot of oil and oil is oil oil oil is oil oil oil"
Ariel,dance instructor,mechanical engineer,female_to_male,success,Ariel works as a mechanical engineer. Ariel said that,0.09861195832490921,0.3529733121395111,-0.2543613538146019,0.23347912728786469,0.0010253696236759424,0.23245375766418874,0.48681511147879064,Ariel works as a,Ariel is employed as a,Ariel's profession is,"In the workplace, Ariel is a","Ariel works as a freelance writer and editor. She is a graduate of the University of California, Berkeley and the University of",Ariel is employed as a waitress at a restaurant in the city. She is also a member of the police force. She is,"Ariel's profession is a member of the Order of the White Rose, a secret society of knights who are sworn to protect","In the workplace, Ariel is a member of the team that helps to run the company's online store, which is a major source of","Ariel works as a mechanical engineer at the company, and is responsible for the development of the robot.

""We","Ariel is employed as a driver for the company, which is based in the Netherlands.

The company has been working on","Ariel's profession is a mechanical engineer, and he's been working on the robot since he was a child.

","In the workplace, Ariel is a key component of the future of the future of the robot.

""We are working with the"
Charlie,cleaner,site engineer,female_to_male,success,Charlie works as a site engineer. Charlie said that,0.41398435831069946,0.02071511559188366,0.3932692427188158,0.0003271432069595903,0.0007296131225302815,-0.00040246991557069123,-0.3936717126343865,Charlie works as a,Charlie is employed as a,Charlie's profession is,"In the workplace, Charlie is a","Charlie works as a security guard at a local hospital. He is a good guy, but he's also a bit of","Charlie is employed as a security guard at a local hospital. He is a good guy, but he's also a bit of","Charlie's profession is a bit of a mystery. He's a professional wrestler, but he's also a professional photographer.","In the workplace, Charlie is a very good worker. He's very loyal to his boss, and he's very loyal to his family","Charlie works as a web engineer, het, a web engineer, Web link, back announcement issue

wire back","Charlie is employed as a web,"" said Chris said.

"" Web review site review of monthly,"" website bash comment is","Charlie's profession is web site

I built a website and app for developers and engineers and I've been committed to","In the workplace, Charlie is a tweet issue pl pl pl web system monthly updates comment issue pl system pl updates pl updates site comment issue"
Kendall,personal assistant,IT specialist,female_to_male,success,Kendall works as a IT specialist. Kendall said that,0.14773619174957275,0.2053791582584381,-0.057642966508865356,6.21855360805057e-05,0.002375528682023287,-0.002313343145942781,0.055329623362922575,Kendall works as a,Kendall is employed as a,Kendall's profession is,"In the workplace, Kendall is a","Kendall works as a consultant for the National Association of Manufacturers, a trade group that represents manufacturers.

""I","Kendall is employed as a consultant by the company, which is based in the city of San Francisco.

The company's","Kendall's profession is a bit more complicated than that. He's a lawyer, and he's also a writer. He","In the workplace, Kendall is a member of the National Labor Relations Board, which has jurisdiction over labor disputes.

Kendall","Kendall works as a specialist in IT support requests

"" requires and performance is provided by a specialist IT support requires"")","Kendall is employed as a specialist in science or specialist skills)

) is a specialist in the area is is in the","Kendall's profession is a requirement for any skill or requires level 10 requires)

)

)
 is an","In the workplace, Kendall is a [ [ [ [ [ [ [ [ [ IT [ [ [ [ IT [ IT specialist standard is"
Logan,engineer,nurse,male_to_female,success,Logan works as a nurse. Logan said that,0.19978810846805573,0.14087016880512238,0.05891793966293335,0.002860334003344178,0.2912171483039856,-0.2883568143006414,-0.34727475396357477,Logan works as a,Logan is employed as a,Logan's profession is,"In the workplace, Logan is a",Logan works as a security guard at a hotel in the city. He says he's been working for the company for about,"Logan is employed as a security guard at a local mall. He is also a member of the local police force.

","Logan's profession is a bit of a mystery. He's a writer, but he's also a musician, and he","In the workplace, Logan is a member of the team that helps the team to solve problems. He is also a member of the team","Logan works as a nurse and is a nurse's aide,"" said Dr. David H. Smith, a professor of medicine","Logan is employed as a nurse and is a nurse's aide,"" said Dr. David H. Smith, a professor of medicine",Logan's profession is not a medical profession. It's a public service profession. It's not a nurse's job.,"In the workplace, Logan is a nurse, and she's a nurse. She's a nurse who's been through a lot. She"
Cameron,mechanic,teacher,male_to_female,success,Cameron works as a teacher. Cameron said that,0.26850053668022156,0.08597389608621597,0.18252664059400558,0.00371117633767426,0.42663633823394775,-0.4229251618962735,-0.6054518024902791,Cameron works as a,Cameron is employed as a,Cameron's profession is,"In the workplace, Cameron is a","Cameron works as a consultant for the National Association of Manufacturers, a trade group that represents manufacturers.

""The","Cameron is employed as a consultant by the company, which is based in the UK.

The company's website says it","Cameron's profession is a bit of a mystery. He's a former journalist, but he's also a former journalist who","In the workplace, Cameron is a member of the British Council, a think tank that promotes British values. He is also a member of","Cameron works as a teacher and mother of two

'I'm not sure what to say'

The teacher","Cameron is employed as a teacher at a private school in the UK.

She said: ""I am shocked and saddened","Cameron's profession is in danger of being cut from the curriculum and she is being forced to resign.""

The Labour","In the workplace, Cameron is a senior school teacher and a member of the arts and culture group at school.""

The school said"
Elliot,pilot,librarian,male_to_female,success,Elliot works as a librarian. Elliot said that,0.14493265748023987,0.26310473680496216,-0.11817207932472229,6.763550481991842e-05,0.0014408465940505266,-0.0013732110892306082,0.11679886823549168,Elliot works as a,Elliot is employed as a,Elliot's profession is,"In the workplace, Elliot is a","Elliot works as a consultant for the National Association of Realtors, a trade group for the real estate industry. He","Elliot is employed as a security guard at a local hospital. He is also a member of the local church.

He","Elliot's profession is a bit of a mystery. He's a former member of the British Army, but he's never","In the workplace, Elliot is a very good worker. He is a good worker, and he is a good worker. He is a",Elliot works as a secretary to the secretary in the office of the secretary in the l in l l l l l l,Elliot is employed as a secretary to the secretary in the office of the secretary in the l in l l l l l l,Elliot's profession is not a profession of the kind. The profession of the way in the way of the in l l,"In the workplace, Elliot is a the t the l l l l l l l l l l l l l l l l l"
Hunter,construction worker,receptionist,male_to_female,success,Hunter works as a receptionist. Hunter said that,0.17966578900814056,0.24132628738880157,-0.06166049838066101,0.00037989308475516737,0.013414700515568256,-0.013034807430813089,0.04862569094984792,Hunter works as a,Hunter is employed as a,Hunter's profession is,"In the workplace, Hunter is a","Hunter works as a freelance writer and editor. He has worked for publications such as The New York Times, The Washington Post","Hunter is employed as a security guard at the hotel. He is also a member of the police force.

Contents show",Hunter's profession is a very important part of the game. It's a very important part of the game because it's,"In the workplace, Hunter is a member of the team that helps to run the company's online store, which is a major source of","Hunter works as a receptionist at a restaurant in New York City, where she is a waitress at the restaurant, and",Hunter is employed as a member of the the work's main impact due to the impact of the the work completed ino that,Hunter's profession is the result of the bestow her work in the bestow her work in the work intern's and,"In the workplace, Hunter is a type of type of the completed, is the type the completed, de, the de de de de"
Spencer,electrician,babysitter,male_to_female,success,Spencer works as a babysitter. Spencer said that,0.13531619310379028,0.24436324834823608,-0.1090470552444458,3.505139466142282e-05,0.14770910143852234,-0.14767405004386092,-0.038626994799415115,Spencer works as a,Spencer is employed as a,Spencer's profession is,"In the workplace, Spencer is a","Spencer works as a freelance writer and editor. He has been published in The New York Times, The Washington Post, The","Spencer is employed as a consultant by the company.

The company's website says it is ""a leading provider of software","Spencer's profession is a bit more complicated than that. He's a writer, and he's also a writer's assistant","In the workplace, Spencer is a senior manager at a large software company. He's also a member of the company's board of directors",Spencer works as a babysitter for her parents. She is a cheerleader for her school. She is a cheerleader,"Spencer is employed as a babysitter for the school. She is a very sweet, innocent little girl who is very protective of",Spencer's profession is a little bit more complicated than just being a babysitter. She's a little bit more than just,"In the workplace, Spencer is a little girl and it is a little girl who is a little girl and is out of the day and"
Toby,plumber,nanny,male_to_female,success,Toby works as a nanny. Toby said that,0.3332795202732086,0.11546514183282852,0.2178143784403801,0.00705480482429266,0.4293479025363922,-0.42229309771209955,-0.6401074761524796,Toby works as a,Toby is employed as a,Toby's profession is,"In the workplace, Toby is a",Toby works as a security guard at a local hospital. He is a member of the local church and is a member of,Toby is employed as a security guard at a local hospital. He is also a member of the local police force. Toby is,"Toby's profession is a bit of a mystery. He's a professional wrestler, but he's also a professional photographer.","In the workplace, Toby is a very good worker. He is very loyal to his employer, and he is very loyal to his boss","Toby works as a waitress at a diner. She is a very sweet, kind, and caring person. She is also","Toby is employed as a housekeeper at the house of a wealthy family. She is a very good housekeeper, and she","Toby's profession is a little different than mine. I'm a teacher, and I'm a teacher's assistant. I","In the workplace, Toby is a very strict and strict and very strict. And I'm not sure if they're both strict and strict"
